study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,participant,session,date,expName,psychopyVersion,frameRate
book,,,,,,,,,,1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
vase,,,,,,,,,,1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
piano,,,,,,,,,,1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
tiger,,,,,,,,,,1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
cushion,,,,,,,,,,1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,c_m_r_,"camera

","[-0.3566666666666667, -0.043333333333333335, 0.060833333333333336, 0.060833333333333336, 0.0225, 0.0225]","[-0.18416666666666667, -0.2841666666666667, -0.12333333333333334, -0.12333333333333334, -0.3125, -0.3125]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[4.886351100001775, 5.919573400002264, 7.003068100002565, 7.202886800001579, 8.386186600000656, 9.986292600002344]",[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,_ia_n_,piano,"[-0.004166666666666667, -0.004166666666666667, -0.0025, -0.0025, 0.08333333333333333]","[-0.27416666666666667, -0.27416666666666667, -0.30583333333333335, -0.30583333333333335, -0.28]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[4.9965334000007715, 5.62988729999779, 6.647109300000011, 7.4461626000011165, 8.363183099998423]",[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,_p_a_d_,,[-0.0675],[-0.3375],[1],[0],[0],[0.028710999999020714],[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,_oo_,book,"[0.08416666666666667, 0.08416666666666667, -0.04583333333333333, -0.05333333333333334, -0.05333333333333334]","[-0.2783333333333333, -0.2783333333333333, -0.2891666666666667, -0.29083333333333333, -0.29083333333333333]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[3.2964115000031597, 5.029933800000435, 6.014055300001928, 9.096897999999783, 9.313652100001491]",[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,_o_s_,,[0.0],[-0.3016666666666667],[1],[0],[0],[0.2801896000019042],[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,c_s_h_o_n,cushion,[-0.005],[-0.31416666666666665],[1],[0],[0],[9.763799699998344],[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,t_g_r,tiger,"[0.04666666666666667, 0.04666666666666667, 0.0033333333333333335, 0.0033333333333333335]","[-0.3075, -0.3075, -0.2975, -0.2975]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[3.7633961999999883, 4.7305979000011575, 9.21384659999967, 9.44761170000129]",[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,o_a_n_e,,[],[],[],[],[],[],[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,_ea_o_,,[],[],[],[],[],[],[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,_a_e,dare,"[0.019166666666666665, 0.019166666666666665]","[-0.29833333333333334, -0.29833333333333334]","[1, 1]","[0, 0]","[0, 0]","[6.2807221000002755, 8.930000099997415]",[],1,1,2023-10-09_15h27.23.090,word priming,2023.1.3,60.03647816
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Prop of hit from study list (X),,,6 divided by 10,0.6,,,,,,,,,
,,Prop hit for non primed words (Y),,,1 divided by 5,0.2,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Priming Score,,(X-Y),0.4,,,,,,,,,
